ID,Table,Column,Tags,ValueControl,Title,Description,UsedFor,Decimal,EnumValue,EnumList,VariableList,DateValue,Photo,URL,File,LastEditBy,LastEditOn,Name_en,Name_hi,Name_mr,ActionIcon
CompanyName,AppVariable,,"ID is used in Code , Changes on App Copy",Enum,Company Name,OmmNoMi Survey Engine,Header title in reports,,OmmNoMi Automation LLP,,,,,,,DevNoMi,08/10/2026 08:57:11,,,,
AppCodeBaseFolder,AppVariable,,"ID is used in Code , Changes on App Copy",URL,App Base Folder,Google Drive Root Folder,File attachments,,,,,,,https://drive.google.com/drive/folders/ommnomi,,DevNoMi,08/10/2026 08:57:11,,,,
OPT_Belghata,Variable,Village,"Option , Village , ID Connected to Variable",Enum,01 Belghata,GP_Belghata,Option item for Village,,01 Belghata,,,,,,,DevNoMi,08/10/2026 08:57:11,01 Belghata,01 बेलघाटा,०१ बेलघाटा,
OPT_Bhadurni,Variable,Village,"Option , Village , ID Connected to Variable",Enum,02 Bhadurni,GP_Bhadurni,Option item for Village,,02 Bhadurni,,,,,,,DevNoMi,08/10/2026 08:57:11,02 Bhadurni,02 भादुर्नी,०२ भादुर्नी,
OPT_Bhagwanpur,Variable,Village,"Option , Village , ID Connected to Variable",Enum,03 Bhagwanpur,GP_Bhagwanpur,Option item for Village,,03 Bhagwanpur,,,,,,,DevNoMi,08/10/2026 08:57:11,03 Bhagwanpur,03 भगवानपुर,०३ भगवानपूर,
OPT_Bondala Khurd,Variable,Village,"Option , Village , ID Connected to Variable",Enum,04 Bondala Khurd,GP_Bondala Khurd,Option item for Village,,04 Bondala Khurd,,,,,,,DevNoMi,08/10/2026 08:57:11,04 Bondala Khurd,04 बोंडाला खुर्द,०४ बोंडाला खुर्द,
OPT_Chak Bembal,Variable,Village,"Option , Village , ID Connected to Variable",Enum,05 Chak Bembal,GP_Pipri Dixit,Option item for Village,,05 Chak Bembal,,,,,,,DevNoMi,08/10/2026 08:57:11,05 Chak Bembal,05 चक बेम्बल,०५ चक बेम्बल,
OPT_Chak Ghasari,Variable,Village,"Option , Village , ID Connected to Variable",Enum,06 Chak Ghosari,GP_Pipri Dixit,Option item for Village,,06 Chak Ghosari,,,,,,,DevNoMi,08/10/2026 08:57:11,06 Chak Ghosari,06 चक घोसारी,०६ चक घोसारी,
OPT_Katapeth,Variable,Village,"Option , Village , ID Connected to Variable",Enum,07 Kantapeth,GP_Tolewahi,Option item for Village,,07 Kantapeth,,,,,,,DevNoMi,08/10/2026 08:57:11,07 Kantapeth,07 कांटापेथ,०७ कांतापेठ,
OPT_Khalwaspeth,Variable,Village,"Option , Village , ID Connected to Variable",Enum,08 Khalwaspeth,GP_Khalwaspeth,Option item for Village,,08 Khalwaspeth,,,,,,,DevNoMi,08/10/2026 08:57:11,08 Khalwaspeth,08 खलवासपेठ,०८ खलवासपेठ,
OPT_Ambedhanora,Variable,Village,"Option , Village , ID Connected to Variable",Enum,09 Ambedhanora Chak,GP_Chak Ambedhanora,Option item for Village,,09 Ambedhanora Chak,,,,,,,DevNoMi,08/10/2026 08:57:11,09 Ambedhanora Chak,09 अंबेधानोरा चक,०९ अंबेधनोरा चक,
OPT_Bhimani,Variable,Village,"Option , Village , ID Connected to Variable",Enum,10 Bhimni,GP_Bhimani,Option item for Village,,10 Bhimni,,,,,,,DevNoMi,08/10/2026 08:57:11,10 Bhimni,10 भीमनी,१० भीमणी,
OPT_Chak Ballarpur,Variable,Village,"Option , Village , ID Connected to Variable",Enum,11 Chak Ballarpur,GP_Chak Ballarpur,Option item for Village,,11 Chak Ballarpur,,,,,,,DevNoMi,08/10/2026 08:57:11,11 Chak Ballarpur,11 चक बल्लारपुर,११ चक बल्लारपूर,
OPT_Chak Futana,Variable,Village,"Option , Village , ID Connected to Variable",Enum,12 Chak Futana,GP_Chak Futana,Option item for Village,,12 Chak Futana,,,,,,,DevNoMi,08/10/2026 08:57:11,12 Chak Futana,12 चक फ़ुटाना,12 चक फुटाना,
OPT_Ghanoti no. 1,Variable,Village,"Option , Village , ID Connected to Variable",Enum,13 Ghanoti no. 1,GP_Ghanoti Tukum,Option item for Village,,13 Ghanoti no. 1,,,,,,,DevNoMi,08/10/2026 08:57:11,13 Ghanoti no. 1,13 घनोती नं. 1,१३ घानोटी नं. १,
OPT_Sellur,Variable,Village,"Option , Village , ID Connected to Variable",Enum,14 Sellur Chak,GP_Welwa Mal,Option item for Village,,14 Sellur Chak,,,,,,,DevNoMi,08/10/2026 08:57:11,14 Sellur Chak,14 सेल्लुर चक,१४ सेलूर चक,
OPT_Ashtai,Variable,Village,"Option , Village , ID Connected to Variable",Enum,15 Sonapur,GP_Ashtai,Option item for Village,,15 Sonapur,,,,,,,DevNoMi,08/10/2026 08:57:11,15 Sonapur,15 सोनपुर,१५ सोनापूर,
OPT_GP_Belghata,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,a. Belghata,Mul,Option item for GramPanchayat,,a. Belghata,,,,,,,DevNoMi,08/10/2026 08:57:11,a. Belghata,ए. बेलघाटा,अ. बेलघाटा,
OPT_GP_Bhadurni,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,b. Bhadurni,Mul,Option item for GramPanchayat,,b. Bhadurni,,,,,,,DevNoMi,08/10/2026 08:57:11,b. Bhadurni,बी. भदुर्नी,ब. भदुर्णी,
OPT_GP_Bhagwanpur,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,c. Bhagwanpur,Mul,Option item for GramPanchayat,,c. Bhagwanpur,,,,,,,DevNoMi,08/10/2026 08:57:11,c. Bhagwanpur,सी. भगवानपुर,सी. भगवानपूर,
OPT_GP_Bondala Khurd,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,d. Bondala Khurd,Mul,Option item for GramPanchayat,,d. Bondala Khurd,,,,,,,DevNoMi,08/10/2026 08:57:11,d. Bondala Khurd,डी. बोंडाला खुर्द,डी. बोंडाला खुर्द,
OPT_GP_Pipri Dixit,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,e. Pipri Dixit,Mul,Option item for GramPanchayat,,e. Pipri Dixit,,,,,,,DevNoMi,08/10/2026 08:57:11,e. Pipri Dixit,ई. पिपरी दीक्षित,ई. पिप्री दीक्षित,
OPT_GP_Tolewahi,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,f. Tolewahi,Mul,Option item for GramPanchayat,,f. Tolewahi,,,,,,,DevNoMi,08/10/2026 08:57:11,f. Tolewahi,एफ. टोलेवाही,एफ. टोलेवाही,
OPT_GP_Khalwaspeth,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,g. Khalwaspeth,Mul,Option item for GramPanchayat,,g. Khalwaspeth,,,,,,,DevNoMi,08/10/2026 08:57:11,g. Khalwaspeth,जी. खलवास्पेठ,जी. खलवासपेठ,
OPT_GP_Chak Ambedhanora,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,h. Chak Ambedhanora,Pombhurna,Option item for GramPanchayat,,h. Chak Ambedhanora,,,,,,,DevNoMi,08/10/2026 08:57:11,h. Chak Ambedhanora,एच. चक अंबेधानोरा,एच. चक अंबेधनोरा,
OPT_GP_Bhimani,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,i. Bhimani,Pombhurna,Option item for GramPanchayat,,i. Bhimani,,,,,,,DevNoMi,08/10/2026 08:57:11,i. Bhimani,i. भीमानी,१. भिमानी,
OPT_GP_Chak Ballarpur,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,j. Chak Ballarpur,Pombhurna,Option item for GramPanchayat,,j. Chak Ballarpur,,,,,,,DevNoMi,08/10/2026 08:57:11,j. Chak Ballarpur,जे. चक बल्लारपुर,जे. चक बल्लारपूर,
OPT_GP_Chak Futana,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,k. Chak Futana,Pombhurna,Option item for GramPanchayat,,k. Chak Futana,,,,,,,DevNoMi,08/10/2026 08:57:11,k. Chak Futana,के. चक फुटाना,k चक फुटाणा,
OPT_GP_Ghanoti Tukum,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,l. Ghanoti Tukum,Pombhurna,Option item for GramPanchayat,,l. Ghanoti Tukum,,,,,,,DevNoMi,08/10/2026 08:57:11,l. Ghanoti Tukum,l. Ghanoti Tukum,l. Ghanoti Tukum,
OPT_GP_Welwa Mal,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,m. Welwa Mal,Pombhurna,Option item for GramPanchayat,,m. Welwa Mal,,,,,,,DevNoMi,08/10/2026 08:57:11,m. Welwa Mal,एम. वेल्वा माल,एम. वेल्वा माल,
OPT_GP_Ashtai,Variable,GramPanchayat,"Option , GramPanchayat , ID Connected to Variable",Enum,n. Ashtai,Pombhurna,Option item for GramPanchayat,,n. Ashtai,,,,,,,DevNoMi,08/10/2026 08:57:11,n. Ashtai,एन. अष्टाई,एन. अष्टाई,
OPT_Mul,Variable,Taluka,"Option , Taluka , ID Connected to Variable",Enum,Mul,,Option item for Taluka,,Mul,,,,,,,DevNoMi,08/10/2026 08:57:11,Mul,एमयूएल,मुल,
OPT_Pombhurna,Variable,Taluka,"Option , Taluka , ID Connected to Variable",Enum,Pombhurna,,Option item for Taluka,,Pombhurna,,,,,,,DevNoMi,08/10/2026 08:57:11,Pombhurna,पोम्भुर्ना,पोंभुर्णा,
OPT_Male,Variable,Gender,"Option , Gender , ID Connected to Variable",Enum,Male,,Option item for Gender,,Male,,,,,,,DevNoMi,08/10/2026 08:57:11,Male,पुरुष,पुरुष,
OPT_Female,Variable,Gender,"Option , Gender , ID Connected to Variable",Enum,Female,,Option item for Gender,,Female,,,,,,,DevNoMi,08/10/2026 08:57:11,Female,महिला,स्त्री,
OPT_Illiterate,Variable,Education,"Option , Education , ID Connected to Variable",Enum,Illiterate,,Option item for Education,,Illiterate,,,,,,,DevNoMi,08/10/2026 08:57:11,Illiterate,निरक्षर,निरक्षर,
OPT_5thPass,Variable,Education,"Option , Education , ID Connected to Variable",Enum,5th pass,,Option item for Education,,5th pass,,,,,,,DevNoMi,08/10/2026 08:57:11,5th pass,5वां पास,पाचवा पास,
OPT_8thPass,Variable,Education,"Option , Education , ID Connected to Variable",Enum,8th pass,,Option item for Education,,8th pass,,,,,,,DevNoMi,08/10/2026 08:57:11,8th pass,8वीं पास,आठवा पास,
OPT_10thPass,Variable,Education,"Option , Education , ID Connected to Variable",Enum,10th pass,,Option item for Education,,10th pass,,,,,,,DevNoMi,08/10/2026 08:57:11,10th pass,10वीं पास,१० वी पास,
OPT_12thPass,Variable,Education,"Option , Education , ID Connected to Variable",Enum,12th pass,,Option item for Education,,12th pass,,,,,,,DevNoMi,08/10/2026 08:57:11,12th pass,12वीं पास,१२ वी पास,
OPT_Graduate,Variable,Education,"Option , Education , ID Connected to Variable",Enum,Graduate,,Option item for Education,,Graduate,,,,,,,DevNoMi,08/10/2026 08:57:11,Graduate,स्नातक,पदवीधर,
OPT_OBC,Variable,Category,"Option , Category , ID Connected to Variable",Enum,OBC,,Option item for Category,,OBC,,,,,,,DevNoMi,08/10/2026 08:57:11,OBC,अन्य पिछड़ा वर्ग,ओबीसी,
OPT_SC,Variable,Category,"Option , Category , ID Connected to Variable",Enum,SC,,Option item for Category,,SC,,,,,,,DevNoMi,08/10/2026 08:57:11,SC,अनुसूचित जाति,एससी,
OPT_ST,Variable,Category,"Option , Category , ID Connected to Variable",Enum,ST,,Option item for Category,,ST,,,,,,,DevNoMi,08/10/2026 08:57:11,ST,अनुसूचित जनजाति,एसटी,
OPT_NT,Variable,Category,"Option , Category , ID Connected to Variable",Enum,NT,,Option item for Category,,NT,,,,,,,DevNoMi,08/10/2026 08:57:11,NT,एनटी,एनटी,
OPT_General,Variable,Category,"Option , Category , ID Connected to Variable",Enum,General,,Option item for Category,,General,,,,,,,DevNoMi,08/10/2026 08:57:11,General,सामान्य,सर्वसाधारण,
OPT_Farming,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Farming,,Option item for Livelihoods,,Farming,,,,,,,DevNoMi,08/10/2026 08:57:11,Farming,खेती,शेती,
OPT_AnimalRearing,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Animal rearing,,Option item for Livelihoods,,Animal rearing,,,,,,,DevNoMi,08/10/2026 08:57:11,Animal rearing,पशुपालन,पशुपालन,
OPT_Poultry,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Poultry,,Option item for Livelihoods,,Poultry,,,,,,,DevNoMi,08/10/2026 08:57:11,Poultry,मुर्गी पालन,कुक्कुटपालन,
OPT_NTFP,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,NTFP,,Option item for Livelihoods,,NTFP,,,,,,,DevNoMi,08/10/2026 08:57:11,NTFP,एनटीएफपी,एनटीएफपी,
OPT_SelfEmployed,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,Owns business (Shop),,Option item for Livelihoods,,Owns business (Shop),,,,,,,DevNoMi,08/10/2026 08:57:11,Owns business (Shop),व्यवसाय (दुकान) का मालिक,व्यवसायाचा (दुकानाचा) मालक,
OPT_Trade,Variable,Livelihoods,"Option , Livelihoods , ID Connected to Variable",Enum,"Trade (welding, carpentry, pottery)",,Option item for Livelihoods,,"Trade (welding, carpentry, pottery)",,,,,,,DevNoMi,08/10/2026 08:57:11,"Trade (welding, carpentry, pottery)","व्यापार (वेल्डिंग, बढ़ईगिरी, मिट्टी के बर्तन बनाना)","व्यापार (वेल्डिंग, सुतारकाम, कुंभारकाम)",
