Q_C_06_00	Survey	Related_Q6_Labor	QuestionPrompt, SectionC, Matrix	InlineTable	Q6. Involvement of family members and hired help in business operations		Subtable Header	6.0								Q6. व्यवसाय में परिवार के सदस्यों एवं भाड़े के सहायकों की भागीदारी	Q6. काम-धंधे में कुटुंब रा जणां और मजूरां री भागीदारी		Antigravity	09/23/2026 14:30:00
Q_C_15_00	Survey	Related_Q15_Turnover	QuestionPrompt, SectionC, Matrix	InlineTable	Q15. Turnover and income from the enterprise		Subtable Header	15.0								Q15. उद्यम से टर्नओवर और आय	Q15. काम-धंधे सूं बिक्री और कमाई		Antigravity	09/23/2026 14:30:00
Q_C_19_00	Survey	Related_Q19_Capital	QuestionPrompt, SectionC, Matrix	InlineTable	Q19. Capital arranged over the enterprise duration		Subtable Header	19.0								Q19. उद्यम अवधि के दौरान पूंजी की व्यवस्था	Q19. काम-धंधे सारु पूंजी रो इंतज़ाम		Antigravity	09/23/2026 14:30:00
Q_C_20_00	Survey	Related_Q20_Loan_Usage	QuestionPrompt, SectionC, Matrix	InlineTable	Q20. Utilization of loans taken from different sources		Subtable Header	20.0								Q20. विभिन्न स्रोतों से लिए गए ऋण का उपयोग	Q20. अलग-अलग साधनां सूं लिया गया लोन रो उपयोग		Antigravity	09/23/2026 14:30:00
Q_C_22_00	Survey	Related_Q22_Trajectory	QuestionPrompt, SectionC, Matrix	InlineTable	Q22. Changes in the business over time		Subtable Header	22.0								Q22. व्यवसाय में आए बदलाव	Q22. काम-धंधे में आया बदलाव		Antigravity	09/23/2026 14:30:00
Q_ST_ROW_ITEM	Survey_Tables	Row_Item	QuestionPrompt, Survey_Tables	Enum	Activity / Category / Source		Row Item Selector		Activity / Category / Source							गतिविधि / श्रेणी / स्रोत	काम / श्रेणी / साधन	list	Antigravity	09/23/2026 15:00:00
Q_ST_ROW_ITEM_OTHER	Survey_Tables	Row_Item_Other	QuestionPrompt, Survey_Tables	Text	Specify Other		Other Specification		Specify Other							अन्य विवरण दें	दूजा काम री विगत	edit	Antigravity	09/23/2026 15:00:00
Q_ST_LABOR_INV	Survey_Tables	Labor_Involvement	QuestionPrompt, Survey_Tables	Enum	Involvement in this work		Labor Involvement		Involvement in this work							इस कार्य में भागीदारी	इण काम में भागीदारी	users	Antigravity	09/23/2026 15:00:00
Q_ST_LABOR_FAM	Survey_Tables	Labor_Family_Count	QuestionPrompt, Survey_Tables	Number	Number of family members involved		Family Member Count		Number of family members involved							परिवार के सदस्यों की संख्या	घर रा जणां री संख्या	user-check	Antigravity	09/23/2026 15:00:00
Q_ST_LABOR_HIRED	Survey_Tables	Labor_Hired_Count	QuestionPrompt, Survey_Tables	Number	Number of hired workers		Hired Worker Count		Number of hired workers							भाड़े के श्रमिकों की संख्या	मजूरां री संख्या	user-plus	Antigravity	09/23/2026 15:00:00
Q_ST_LABOR_AMT	Survey_Tables	Labor_Amount_Paid	QuestionPrompt, Survey_Tables	Decimal	Total amount paid to hired workers (Rs)		Labor Payment Amount		Total amount paid to hired workers (Rs)							श्रमिकों को भुगतान की गई कुल राशि (रु)	मजूरां नै दिया गया कुल पीसा (रु)	dollar-sign	Antigravity	09/23/2026 15:00:00
Q_ST_TURNOVER_MTH	Survey_Tables	Turnover_Duration_Months	QuestionPrompt, Survey_Tables	Number	Duration of season (in Months)		Season Duration		Duration of season (in Months)							मौसम की अवधि (महीनों में)	मौसम रा महीना	calendar	Antigravity	09/23/2026 15:00:00
Q_ST_TURNOVER_SALES	Survey_Tables	Turnover_Monthly_Sales	QuestionPrompt, Survey_Tables	Decimal	Average monthly sales (Rs)		Monthly Sales		Average monthly sales (Rs)							औसत मासिक बिक्री (रु)	महीना री औसत बिक्री (रु)	trending-up	Antigravity	09/23/2026 15:00:00
Q_ST_TURNOVER_PROFIT	Survey_Tables	Turnover_Monthly_Profit	QuestionPrompt, Survey_Tables	Decimal	Average monthly net profit (Rs)		Monthly Profit		Average monthly net profit (Rs)							औसत मासिक शुद्ध लाभ (रु)	महीना रो औसत नफो (रु)	trending-up	Antigravity	09/23/2026 15:00:00
Q_ST_CAP_YR1	Survey_Tables	Capital_First_Year	QuestionPrompt, Survey_Tables	Decimal	Capital arranged in 1st Year (Rs)		Capital Year 1		Capital arranged in 1st Year (Rs)							पहले वर्ष में व्यवस्थित पूंजी (रु)	पैला साल में लगाई पूंजी (रु)	dollar-sign	Antigravity	09/23/2026 15:00:00
Q_ST_CAP_MID	Survey_Tables	Capital_In_Between	QuestionPrompt, Survey_Tables	Decimal	Capital arranged in between years (Rs)		Capital Mid Years		Capital arranged in between years (Rs)							बीच के वर्षों में व्यवस्थित पूंजी (रु)	बीच रा सालां में लगाई पूंजी (रु)	dollar-sign	Antigravity	09/23/2026 15:00:00
