ID	Table	Column	Tags	ValueControl	Title	Description	UsedFor	Decimal	EnumValue	EnumList	VariableList	DateValue	Photo	URL	File	Title_hi	Title_raj	ActionIcon	LastEditBy	LastEditOn
ACT_VEG_FRUIT	AppVariables	Activity	Option, Trade, Group:Trading	Enum	[T] Vegetable / Fruit	Trading	Activity Option		Vegetable / Fruit							[T] सब्जी / फल	[T] सब्जी / फल		Antigravity	09/21/2026 13:23:39
ACT_GROCERY	AppVariables	Activity	Option, Trade, Group:Trading	Enum	[T] Grocery	Trading	Activity Option		Grocery							[T] किराना	[T] किराणा		Antigravity	09/21/2026 13:23:39
ACT_FANCY_STORE	AppVariables	Activity	Option, Trade, Group:Trading	Enum	[T] Fancy / Cosmetic / General store	Trading	Activity Option		Fancy / Cosmetic / General store							[T] फैंसी / कॉस्मेटिक / जनरल स्टोर	[T] प्रसाधन / जनरल स्टोर		Antigravity	09/21/2026 13:23:39
ACT_APPAREL	AppVariables	Activity	Option, Trade, Group:Trading	Enum	[T] Apparel / fabric	Trading	Activity Option		Apparel / fabric							[T] कपड़ा / रेडीमेड वस्त्र	[T] कपड़ा / वेशभूषा		Antigravity	09/21/2026 13:23:39
ACT_ELECTRIC_GOODS	AppVariables	Activity	Option, Trade, Group:Trading	Enum	[T] Electric goods	Trading	Activity Option		Electric goods							[T] इलेक्ट्रिक सामान	[T] बिजली रो सामान		Antigravity	09/21/2026 13:23:39
ACT_STONE_SHOP	AppVariables	Activity	Option, Trade, Group:Trading	Enum	[T] Stone shop	Trading	Activity Option		Stone shop							[T] पत्थर की दुकान	[T] भाटां/पत्थर री दुकान		Antigravity	09/21/2026 13:23:39
ACT_FLOUR_MILL	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Flour mill (Chakki)	Servicing	Activity Option		Flour mill (Chakki)							[S] आटा चक्की	[S] आटा चक्की		Antigravity	09/21/2026 13:23:39
ACT_TAILORING	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Tailoring	Servicing	Activity Option		Tailoring							[S] सिलाई / टेलरिंग	[S] सिलाई / दर्जी काम		Antigravity	09/21/2026 13:23:39
ACT_BEAUTY_PARLOUR	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Beauty parlour	Servicing	Activity Option		Beauty parlour							[S] ब्यूटी पार्लर	[S] ब्यूटी पार्लर		Antigravity	09/21/2026 13:23:39
ACT_AUTO_REPAIR	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Auto-mechanic / two-wheeler repair	Servicing	Activity Option		Auto-mechanic / two-wheeler repair							[S] ऑटो मैकेनिक / दोपहिया मरम्मत	[S] गाड़ी/मोटरसाइकिल मिस्त्री		Antigravity	09/21/2026 13:23:39
ACT_EMITRA	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] E-mitra / Online kiosk	Servicing	Activity Option		E-mitra / Online kiosk							[S] ई-मित्र / ऑनलाइन केंद्र	[S] ई-मित्र केंद्र		Antigravity	09/21/2026 13:23:39
ACT_TRANSPORT	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Transport	Servicing	Activity Option		Transport							[S] परिवहन / वाहन	[S] गाड़ी भाड़ा / परिवहन		Antigravity	09/21/2026 13:23:39
ACT_TENT_HOUSE	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Tent house	Servicing	Activity Option		Tent house							[S] टेंट हाउस	[S] टेंट हाउस		Antigravity	09/21/2026 13:23:39
ACT_MOBILE_REPAIR	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Mobile repair shop	Servicing	Activity Option		Mobile repair shop							[S] मोबाइल रिपेयर दुकान	[S] मोबाइल ठीक करण री दुकान		Antigravity	09/21/2026 13:23:39
ACT_STONE_CUTTING	AppVariables	Activity	Option, Trade, Group:Servicing	Enum	[S] Stone cutting	Servicing	Activity Option		Stone cutting							[S] पत्थर कटाई	[S] पत्थर कटाई		Antigravity	09/21/2026 13:23:39
ACT_SANITARY_NAPKIN	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Sanitary napkin making	Production	Activity Option		Sanitary napkin making							[P] सैनिटरी नैपकिन निर्माण	[P] सैनिटरी पैड बणावण		Antigravity	09/21/2026 13:23:39
ACT_HANDICRAFT	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Handicraft	Production	Activity Option		Handicraft							[P] हस्तशिल्प / कसीदाकारी	[P] हाथ रो काम / कसीदाकारी		Antigravity	09/21/2026 13:23:39
ACT_DAIRY_MILK	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Dairy shop / Milk collection centre	Production	Activity Option		Dairy shop / Milk collection centre							[P] डेयरी दुकान / दुग्ध संकलन केंद्र	[P] दूध डेरी / संकलन केंद्र		Antigravity	09/21/2026 13:23:39
ACT_JUICE	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Juice	Production	Activity Option		Juice							[P] जूस की दुकान	[P] जूस री दुकान		Antigravity	09/21/2026 13:23:39
ACT_FOOD_PROCESSING	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Food processing (pickle/badi/papad)	Production	Activity Option		Food processing (pickle/badi/papad)							[P] खाद्य प्रसंस्करण (अचार/बड़ी/पापड़ निर्माण)	[P] अचार, पापड़, बड़ी बणावण		Antigravity	09/21/2026 13:23:39
ACT_FOOD_MAKING	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Food making (Sweets/Namkeen/hotel)	Production	Activity Option		Food making (Sweets/Namkeen/hotel)							[P] मिठाई / नमकीन / ढाबा / होटल	[P] मिठाई / नमकीन / होटल		Antigravity	09/21/2026 13:23:39
ACT_SWEET_BOX	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Sweet box making	Production	Activity Option		Sweet box making							[P] मिठाई के डिब्बे बनाना	[P] मिठाई रा डिब्बा बणावण		Antigravity	09/21/2026 13:23:39
ACT_FLAG_MAKING	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Flag making	Production	Activity Option		Flag making							[P] झंडा निर्माण	[P] झंडा बणावण		Antigravity	09/21/2026 13:23:39
ACT_LEATHER_PRODUCTS	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Leather products	Production	Activity Option		Leather products							[P] चमड़े के उत्पाद / जूते	[P] चामड़ा रो काम / जूता		Antigravity	09/21/2026 13:23:39
ACT_STONE_IDOLS	AppVariables	Activity	Option, Trade, Group:Production	Enum	[P] Stone idols	Production	Activity Option		Stone idols							[P] पत्थर की मूर्तियां	[P] पत्थर री मूर्तियां बणावण		Antigravity	09/21/2026 13:23:39
ACT_ANY_OTHER	AppVariables	Activity	Option, Trade, Group:Other	Enum	Any other activity	Other	Activity Option		Any other activity							अन्य कोई गतिविधि	दूजो कोई काम		Antigravity	09/21/2026 13:23:39
